Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-369.7101839,-370.2764057,-369.6879793,-369.880347,-369.8868099
0.65,-376.03895,-376.5063891,-376.0068012,-376.205943,-376.2123512
0.8,-378.568936,-378.9476186,-378.5241095,-378.7372855,-378.7447686
0.95,-379.9010788,-380.2665067,-379.8250048,-380.0837314,-380.100825
1.1,-380.7825642,-381.1514738,-380.7100607,-380.9602564,-380.9831974
1.25,-381.2630817,-381.6172013,-381.2027932,-381.4452154,-381.4670149
1.4,-381.4826602,-381.8510463,-381.4534979,-381.6934378,-381.7146081
1.55,-381.6039313,-381.9643761,-381.5773755,-381.8157253,-381.8367275
1.7,-381.6579226,-382.0093908,-381.6342077,-381.8710556,-381.8921119
1.85,-381.6757518,-382.0321806,-381.654964,-381.8903576,-381.9116006
2,-381.6741092,-382.0420724,-381.6564039,-381.8904199,-381.9119463
2.15,-381.6621786,-382.0428337,-381.6480479,-381.8807329,-381.9026175
2.3,-381.6451124,-382.0387909,-381.6354992,-381.8668318,-381.8891259
2.45,-381.6267745,-382.0362533,-381.6220829,-381.8519869,-381.8747109
2.6,-381.6113131,-382.0470105,-381.6097021,-381.8380929,-381.8612317
2.75,-381.5999337,-382.0558143,-381.5993169,-381.8261523,-381.8496578
2.9,-381.5915767,-382.0621901,-381.5912443,-381.8165578,-381.8403595
3.05,-381.5855805,-382.0666567,-381.5853824,-381.8092873,-381.8333083
3.2,-381.5815056,-382.0697363,-381.5813947,-381.8040653,-381.828236
3.35,-381.5789126,-382.0718142,-381.5788574,-381.8004994,-381.8247652
3.5,-381.5773829,-382.0731816,-381.57736,-381.7981811,-381.8225036
3.65,-381.5765696,-382.0740709,-381.5765606,-381.7967497,-381.821103
3.8,-381.5762058,-382.0746592,-381.5762028,-381.7959167,-381.8202835
3.95,-381.5761103,-382.0750655,-381.5761093,-381.7954737,-381.8198418
4.1,-381.5761657,-382.0753615,-381.5761654,-381.7952809,-381.8196404
4.25,-381.5763006,-382.0755883,-381.5763006,-381.7952702,-381.8196443
4.4,-381.5764736,-382.0757689,-381.5764736,-381.7957714,-381.8228125
4.55,-381.5766611,-382.0759168,-381.5766611,-381.795062,-381.8194124
4.7,-381.5768503,-382.0760402,-381.5768503,-381.7952121,-381.8195902
4.85,-381.5770347,-382.0761445,-381.5770347,-381.795329,-381.8197037
5,-381.577211,-382.076233,-381.577211,-381.7954381,-381.8198056
5.15,-381.5773778,-382.0763094,-381.5773778,-381.7955422,-381.8199023
5.3,-381.5775346,-382.0763751,-381.5775346,-381.7956415,-381.8199944
5.45,-381.5776815,-382.0764319,-381.5776815,-381.7957361,-381.8200823
5.6,-381.5778188,-382.0764809,-381.5778188,-381.7958254,-381.8201654
5.75,-381.577947,-382.0765241,-381.577947,-381.7959098,-381.820244
5.9,-381.5780666,-382.0765618,-381.5780666,-381.7959892,-381.820318
