Distance(A),VQE-UCCSD,Numpy,RHF,CCSD,CCSD(T)
0.5,-369.8616701,-370.2865347,-369.8081508,-370.0542054,-370.068609
0.65,-376.2530286,-376.6004311,-376.1948483,-376.4309386,-376.4421144
0.8,-378.765709,-379.0948748,-378.7571077,-378.9889433,-378.999972
0.95,-380.1918917,-380.4626494,-380.1629805,-380.3862137,-380.3986447
1.1,-381.0149654,-381.2949843,-380.9907911,-381.2094869,-381.2234054
1.25,-381.4330305,-381.7150795,-381.4115741,-381.630389,-381.6456168
1.4,-381.6295341,-381.9155853,-381.6099008,-381.8296215,-381.846106
1.55,-381.7135531,-382.0145768,-381.6954399,-381.91572,-381.9334182
1.7,-381.7406053,-382.0575584,-381.7242278,-381.9446078,-381.9634433
1.85,-381.7381628,-382.0715387,-381.7246635,-381.9447807,-381.9646426
2,-381.7192242,-382.069258,-381.7115587,-381.9311317,-381.9518852
2.15,-381.694232,-382.0605956,-381.6929566,-381.9117703,-381.9332644
2.3,-381.6734431,-382.0545742,-381.6733619,-381.8912908,-381.9133659
2.45,-381.6552726,-382.0500418,-381.6552635,-381.8722984,-381.8947997
2.6,-381.6398772,-382.0500912,-381.6398749,-381.8561212,-381.878917
2.75,-381.6275512,-382.056819,-381.6275504,-381.8431912,-381.866186
2.9,-381.6180946,-382.0617105,-381.6180942,-381.8333374,-381.8564727
3.05,-381.6110262,-382.0651817,-381.6110262,-381.8260615,-381.8493061
3.2,-381.6057903,-382.0676215,-381.6057903,-381.8207649,-381.8441028
3.35,-381.6018839,-382.0693494,-381.6018839,-381.8168986,-381.8403205
3.5,-381.5989116,-382.0706022,-381.5989116,-381.8140269,-381.8375258
3.65,-381.5965882,-382.0715416,-381.5965882,-381.8118354,-381.8354047
3.8,-381.5947192,-382.072272,-381.5947192,-381.8101097,-381.8337429
3.95,-381.5931755,-382.0728588,-381.5931755,-381.8087089,-381.8323997
4.1,-381.5918725,-382.0733428,-381.5918725,-381.807542,-381.8312843
4.25,-381.5907537,-382.0737497,-381.5907537,-381.8065499,-381.8303381
4.4,-381.589781,-382.0740967,-381.589781,-381.8056934,-381.8295224
4.55,-381.5889275,-382.0743948,-381.5889275,-381.8049457,-381.828811
4.7,-381.5881732,-382.0746543,-381.5881732,-381.8042879,-381.8281856
4.85,-381.5875032,-382.0748804,-381.5875032,-381.8037052,-381.8276318
5,-381.5869053,-382.0750784,-381.5869053,-381.8031869,-381.8271392
5.15,-381.5863699,-382.0752524,-381.5863699,-381.8027238,-381.8266993
5.3,-381.5858888,-382.0754059,-381.5858888,-381.8023088,-381.8263051
5.45,-381.5854553,-382.0755418,-381.5854553,-381.8019356,-381.8259506
5.6,-381.5850635,-382.0756625,-381.5850635,-381.8015991,-381.8256309
5.75,-381.5847087,-382.07577,-381.5847087,-381.8012949,-381.8253422
5.9,-381.5843864,-382.075866,-381.5843864,-381.8010193,-381.8250805
